"film_id","title","rental_rate","description","replacement_cost"
98,"Bright Encounters","4.99","A Fateful Yarn of a Lumberjack And a Feminist who must Conquer a Student in A Jet Boat","12.99"
2,"Ace Goldfinger","4.99","A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China","12.99"
15,"Alien Center","2.99","A Brilliant Drama of a Cat And a Mad Scientist who must Battle a Feminist in A MySQL Convention","10.99"
22,"Amistad Midsummer","2.99","A Emotional Character Study of a Dentist And a Crocodile who must Meet a Sumo Wrestler in California","10.99"
23,"Anaconda Confessions","0.99","A Lacklusture Display of a Dentist And a Dentist who must Fight a Girl in Australia","9.99"
27,"Anonymous Human","0.99","A Amazing Reflection of a Database Administrator And a Astronaut who must Outrace a Database Administrator in A Shark Tank","12.99"
29,"Antitrust Tomatoes","2.99","A Fateful Yarn of a Womanizer And a Feminist who must Succumb a Database Administrator in Ancient India","11.99"
32,"Apocalypse Flamingos","4.99","A Astounding Story of a Dog And a Squirrel who must Defeat a Woman in An Abandoned Amusement Park","11.99"
36,"Argonauts Town","0.99","A Emotional Epistle of a Forensic Psychologist And a Butler who must Challenge a Waitress in An Abandoned Mine Shaft","12.99"
39,"Armageddon Lost","0.99","A Fast-Paced Tale of a Boat And a Teacher who must Succumb a Composer in An Abandoned Mine Shaft","10.99"
42,"Artist Coldblooded","2.99","A Stunning Reflection of a Robot And a Moose who must Challenge a Woman in California","10.99"
46,"Autumn Crow","4.99","A Beautiful Tale of a Dentist And a Mad Cow who must Battle a Moose in The Sahara Desert","13.99"
51,"Balloon Homeward","2.99","A Insightful Panorama of a Forensic Psychologist And a Mad Cow who must Build a Mad Scientist in The First Manned Space Station","10.99"
72,"Bill Others","2.99","A Stunning Saga of a Mad Scientist And a Forensic Psychologist who must Challenge a Squirrel in A MySQL Convention","12.99"
78,"Blackout Private","2.99","A Intrepid Yarn of a Pastry Chef And a Mad Scientist who must Challenge a Secret Agent in Ancient Japan","12.99"
79,"Blade Polish","0.99","A Thoughtful Character Study of a Frisbee And a Pastry Chef who must Fight a Dentist in The First Manned Space Station","10.99"
82,"Blood Argonauts","0.99","A Boring Drama of a Explorer And a Man who must Kill a Lumberjack in A Manhattan Penthouse","13.99"
84,"Boiled Dares","4.99","A Awe-Inspiring Story of a Waitress And a Dog who must Discover a Dentist in Ancient Japan","13.99"
86,"Boogie Amelie","4.99","A Lacklusture Character Study of a Husband And a Sumo Wrestler who must Succumb a Technical Writer in The Gulf of Mexico","11.99"
90,"Boulevard Mob","0.99","A Fateful Epistle of a Moose And a Monkey who must Confront a Lumberjack in Ancient China","11.99"
107,"Bunch Minds","2.99","A Emotional Story of a Feminist And a Feminist who must Escape a Pastry Chef in A MySQL Convention","13.99"
116,"Candidate Perdition","2.99","A Brilliant Epistle of a Composer And a Database Administrator who must Vanquish a Mad Scientist in The First Manned Space Station","10.99"
